docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,
61,C:\Users\catha\Desktop\Final Project\cookbook_text\1911.txt,4,55%,19,0.16,,,,,,,,,,,,
62,C:\Users\catha\Desktop\Final Project\cookbook_text\1912.txt,2,46%,1,0.245,10,0.081,5,0.053,,,,,,,,
63,C:\Users\catha\Desktop\Final Project\cookbook_text\1913.txt,17,20%,12,0.139,5,0.128,16,0.116,1,0.071,10,0.066,9,0.055,13,0.055
64,C:\Users\catha\Desktop\Final Project\cookbook_text\1914 (2).txt,14,42%,17,0.198,12,0.153,7,0.06,,,,,,,,
65,C:\Users\catha\Desktop\Final Project\cookbook_text\1914.txt,13,36%,7,0.188,14,0.144,12,0.103,10,0.085,,,,,,
66,C:\Users\catha\Desktop\Final Project\cookbook_text\1915.txt,17,44%,1,0.118,2,0.099,5,0.05,,,,,,,,
67,C:\Users\catha\Desktop\Final Project\cookbook_text\1917.txt,16,50%,4,0.289,,,,,,,,,,,,
68,C:\Users\catha\Desktop\Final Project\cookbook_text\1918.txt,13,63%,7,0.117,14,0.078,12,0.058,,,,,,,,
69,C:\Users\catha\Desktop\Final Project\cookbook_text\1919 (2).txt,7,39%,13,0.239,14,0.104,10,0.058,12,0.052,,,,,,
70,C:\Users\catha\Desktop\Final Project\cookbook_text\1919 (3).txt,17,33%,14,0.287,12,0.174,7,0.069,,,,,,,,
71,C:\Users\catha\Desktop\Final Project\cookbook_text\1919.txt,8,81%,17,0.056,,,,,,,,,,,,
72,C:\Users\catha\Desktop\Final Project\cookbook_text\1922.txt,13,21%,20,0.142,14,0.141,6,0.119,1,0.094,17,0.064,,,,
